UnitNumber,UnitType,Building,Floor,Variant
101,A1,North Tower,Floor 1,standard
111,A1-MIR,North Tower,Floor 1,MIR
121,B1,North Tower,Floor 1,standard
102,A1,North Tower,Floor 1,standard
112,A1-MIR,North Tower,Floor 1,MIR
122,B1,North Tower,Floor 1,standard
103,A1,North Tower,Floor 1,standard
113,A1-MIR,North Tower,Floor 1,MIR
123,B1,North Tower,Floor 1,standard
104,A1,North Tower,Floor 1,standard
114,A1-MIR,North Tower,Floor 1,MIR
124,B1,North Tower,Floor 1,standard
105,A1,North Tower,Floor 1,standard
115,A1-MIR,North Tower,Floor 1,MIR
125,B1,North Tower,Floor 1,standard
106,A1,North Tower,Floor 1,standard
116,A1-MIR,North Tower,Floor 1,MIR
126,B1,North Tower,Floor 1,standard
107,A1,North Tower,Floor 1,standard
117,A1-MIR,North Tower,Floor 1,MIR
127,B1,North Tower,Floor 1,standard
108,A1,North Tower,Floor 1,standard
118,A1-MIR,North Tower,Floor 1,MIR
128,B1,North Tower,Floor 1,standard
109,A1,North Tower,Floor 1,standard
119,A1-MIR,North Tower,Floor 1,MIR
129,B1,North Tower,Floor 1,standard
1010,A1,North Tower,Floor 1,standard
120,A1-MIR,North Tower,Floor 1,MIR
130,B1,North Tower,Floor 1,standard
201,A1,North Tower,Floor 2,standard
211,A1-MIR,North Tower,Floor 2,MIR
221,B1,North Tower,Floor 2,standard
202,A1,North Tower,Floor 2,standard
212,A1-MIR,North Tower,Floor 2,MIR
222,B1,North Tower,Floor 2,standard
203,A1,North Tower,Floor 2,standard
213,A1-MIR,North Tower,Floor 2,MIR
223,B1,North Tower,Floor 2,standard
204,A1,North Tower,Floor 2,standard
214,A1-MIR,North Tower,Floor 2,MIR
224,B1,North Tower,Floor 2,standard
205,A1,North Tower,Floor 2,standard
215,A1-MIR,North Tower,Floor 2,MIR
225,B1,North Tower,Floor 2,standard
206,A1,North Tower,Floor 2,standard
216,A1-MIR,North Tower,Floor 2,MIR
226,B1,North Tower,Floor 2,standard
207,A1,North Tower,Floor 2,standard
217,A1-MIR,North Tower,Floor 2,MIR
227,B1,North Tower,Floor 2,standard
208,A1,North Tower,Floor 2,standard
218,A1-MIR,North Tower,Floor 2,MIR
228,B1,North Tower,Floor 2,standard
209,A1,North Tower,Floor 2,standard
219,A1-MIR,North Tower,Floor 2,MIR
229,B1,North Tower,Floor 2,standard
2010,A1,North Tower,Floor 2,standard
220,A1-MIR,North Tower,Floor 2,MIR
230,B1,North Tower,Floor 2,standard
301,A1,North Tower,Floor 3,standard
311,A1-MIR,North Tower,Floor 3,MIR
321,B1,North Tower,Floor 3,standard
302,A1,North Tower,Floor 3,standard
312,A1-MIR,North Tower,Floor 3,MIR
322,B1,North Tower,Floor 3,standard
303,A1,North Tower,Floor 3,standard
313,A1-MIR,North Tower,Floor 3,MIR
323,B1,North Tower,Floor 3,standard
304,A1,North Tower,Floor 3,standard
314,A1-MIR,North Tower,Floor 3,MIR
324,B1,North Tower,Floor 3,standard
305,A1,North Tower,Floor 3,standard
315,A1-MIR,North Tower,Floor 3,MIR
325,B1,North Tower,Floor 3,standard
306,A1,North Tower,Floor 3,standard
316,A1-MIR,North Tower,Floor 3,MIR
326,B1,North Tower,Floor 3,standard
307,A1,North Tower,Floor 3,standard
317,A1-MIR,North Tower,Floor 3,MIR
327,B1,North Tower,Floor 3,standard
308,A1,North Tower,Floor 3,standard
318,A1-MIR,North Tower,Floor 3,MIR
328,B1,North Tower,Floor 3,standard
309,A1,North Tower,Floor 3,standard
319,A1-MIR,North Tower,Floor 3,MIR
329,B1,North Tower,Floor 3,standard
3010,A1,North Tower,Floor 3,standard
320,A1-MIR,North Tower,Floor 3,MIR
330,B1,North Tower,Floor 3,standard
401,A1,North Tower,Floor 4,standard
411,A1-MIR,North Tower,Floor 4,MIR
421,B1,North Tower,Floor 4,standard
402,A1,North Tower,Floor 4,standard
412,A1-MIR,North Tower,Floor 4,MIR
422,B1,North Tower,Floor 4,standard
403,A1,North Tower,Floor 4,standard
413,A1-MIR,North Tower,Floor 4,MIR
423,B1,North Tower,Floor 4,standard
404,A1,North Tower,Floor 4,standard
414,A1-MIR,North Tower,Floor 4,MIR
424,B1,North Tower,Floor 4,standard
405,A1,North Tower,Floor 4,standard
415,A1-MIR,North Tower,Floor 4,MIR
425,B1,North Tower,Floor 4,standard
406,A1,North Tower,Floor 4,standard
416,A1-MIR,North Tower,Floor 4,MIR
426,B1,North Tower,Floor 4,standard
407,A1,North Tower,Floor 4,standard
417,A1-MIR,North Tower,Floor 4,MIR
427,B1,North Tower,Floor 4,standard
408,A1,North Tower,Floor 4,standard
418,A1-MIR,North Tower,Floor 4,MIR
428,B1,North Tower,Floor 4,standard
409,A1,North Tower,Floor 4,standard
419,A1-MIR,North Tower,Floor 4,MIR
429,B1,North Tower,Floor 4,standard
4010,A1,North Tower,Floor 4,standard
420,A1-MIR,North Tower,Floor 4,MIR
430,B1,North Tower,Floor 4,standard
501,A1,North Tower,Floor 5,standard
511,A1-MIR,North Tower,Floor 5,MIR
521,B1,North Tower,Floor 5,standard
502,A1,North Tower,Floor 5,standard
512,A1-MIR,North Tower,Floor 5,MIR
522,B1,North Tower,Floor 5,standard
503,A1,North Tower,Floor 5,standard
513,A1-MIR,North Tower,Floor 5,MIR
523,B1,North Tower,Floor 5,standard
504,A1,North Tower,Floor 5,standard
514,A1-MIR,North Tower,Floor 5,MIR
524,B1,North Tower,Floor 5,standard
505,A1,North Tower,Floor 5,standard
515,A1-MIR,North Tower,Floor 5,MIR
525,B1,North Tower,Floor 5,standard
506,A1,North Tower,Floor 5,standard
516,A1-MIR,North Tower,Floor 5,MIR
526,B1,North Tower,Floor 5,standard
507,A1,North Tower,Floor 5,standard
517,A1-MIR,North Tower,Floor 5,MIR
527,B1,North Tower,Floor 5,standard
508,A1,North Tower,Floor 5,standard
518,A1-MIR,North Tower,Floor 5,MIR
528,B1,North Tower,Floor 5,standard
509,A1,North Tower,Floor 5,standard
519,A1-MIR,North Tower,Floor 5,MIR
529,B1,North Tower,Floor 5,standard
5010,A1,North Tower,Floor 5,standard
520,A1-MIR,North Tower,Floor 5,MIR
530,B1,North Tower,Floor 5,standard
